,경찰서,경찰_주소
0,서울중부,서울특별시 중구  을지로 234
1,서울중부,서울특별시 중구  퇴계로 375-1
2,서울중부,"서울특별시 중구  동호로 5길 15, 약수지구대"
3,서울종로,서울특별시 종로구  종로17길 4 종로2가파출소
4,서울서대문,서울특별시 서대문구  독립문로 25-1
5,서울서대문,서울특별시 서대문구  신촌역로 22
6,서울용산,서울특별시 용산구  백범로 329
7,서울용산,"서울특별시 용산구  후암로16나길 17, 용중지구대"
8,서울용산,서울특별시 용산구  서빙고로67
9,서울성북,서울특별시 성북구  아리랑로5길 54
10,서울성북,서울특별시 성북구  지봉로21길 45
11,서울성북,서울특별시 성북구  삼양로13길 51 길음지구대
12,서울동대문,서울시 동대문구 사가정로 2길 9
13,서울동대문,서울특별시 동대문구  청계천로549
14,서울동대문,서울특별시 동대문구  한천로 402
15,서울마포,"서울특별시 마포구  독막로22길 8(창전동, 서강지구대)"
16,서울마포,서울특별시 마포구 마포대로 195-1
17,서울마포,서울특별시 마포구  월드컵북로 30길 24
18,서울마포,서울특별시 마포구  양화로11길 63
19,서울마포,서울특별시 마포구 토정로31길 35
20,서울영등포,서울특별시 영등포구  영등포로46길 14
21,서울영등포,서울특별시 영등포구  여의공원로 120 여의도지구대
22,서울영등포,서울특별시 영등포구  경인로 759
23,서울영등포,서울특별시 영등포구 신길동 4533-16
24,서울영등포,서울특별시 영등포구  신길로60다길 16 
25,서울영등포,서울특별시 영등포구  당산로 221
26,서울영등포,서울특별시 영등포구  대림로23길 16-1
27,서울성동,서울특별시 성동구  사근동길 5
28,서울성동,서울특별시 성동구  광나루로2길 35 성수지구대
29,서울성동,서울특별시 성동구  성덕정길 77-2
30,서울동작,서울특별시 동작구  동작대로9길 35
31,서울동작,서울특별시 동작구  등용로12나길 2
32,서울동작,서울특별시 동작구  등용로 24 
33,서울동작,서울특별시 동작구 사당로17나길 4
34,서울동작,서울특별시 동작구 노량진로 248
35,서울동작,서울특별시 동작구 신대방1다길 24
36,서울광진,서울특별시 광진구 아차산로 567
37,서울광진,서울특별시 광진구  능동로17길 39 화양지구대
38,서울서부,서울특별시 은평구  은평로 171
39,서울서부,서울특별시 은평구  은평터널로5길 6호
40,서울강북,서울특별시 강북구 도봉로 127
41,서울강북,서울특별시 강북구 오현로 4
42,서울금천,서울특별시 금천구  독산로 76길 20
43,서울금천,서울특별시 금천구  탑골로2길 37 백산지구대
44,서울중랑,서울특별시 중랑구  망우로 391
45,서울중랑,서울특별시 중랑구  중랑천로 146
46,서울중랑,서울특별시 중랑구 동일로 566
47,서울중랑,서울특별시 중랑구  신내로 177
48,서울강남,서울특별시 강남구 언주로108길 20
49,서울관악,서울특별시 관악구  남부순환로191길 12 당곡지구대
50,서울관악,"서울특별시 관악구  봉천로 540, 낙성대지구대"
51,서울관악,서울특별시 관악구  남부순환로188길 12 신림지구대
52,서울관악,서울특별시 관악구  신림로 178 관악산지구대
53,서울관악,서울특별시 관악구 은천로 93
54,서울관악,서울특별시 관악구  신사로 106
55,서울강서,서울특별시 강서구  화곡로 310
56,서울강서,서울특별시 강서구  방화동로 5 공항지구대
57,서울강서,서울특별시 강서구  강서로7길 39
58,서울강서,서울특별시 강서구 화곡로65길 63
59,서울강서,서울특별시 강서구  곰달래로59길 12
60,서울강서,서울특별시 강서구  공항대로59다길 80
