,발생년도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
0,2017,서울중부서,0,6,1061,1198,3,3,3,1,2.5
1,2017,서울종로서,5,5,910,1220,3,3,3,4,3.25
2,2017,서울남대문서,1,3,785,863,2,3,2,2,2.25
3,2017,서울서대문서,4,1,1230,1676,2,4,3,3,3.0
4,2017,서울혜화서,2,5,734,923,3,2,2,2,2.25
5,2017,서울용산서,1,5,1346,2381,3,4,4,2,3.25
6,2017,서울성북서,5,5,701,1005,3,2,2,4,2.75
7,2017,서울동대문서,11,3,1547,2249,2,4,4,4,3.5
8,2017,서울마포서,3,8,2094,2673,4,4,4,3,3.75
9,2017,서울영등포서,15,5,2304,3190,3,4,4,4,3.75
10,2017,서울성동서,1,3,1072,1559,2,3,3,2,2.5
11,2017,서울동작서,1,7,1226,1700,4,4,3,2,3.25
12,2017,서울광진서,6,13,2220,2146,4,4,4,4,4.0
13,2017,서울서부서,3,2,553,904,2,2,2,3,2.25
14,2017,서울강북서,8,7,1014,2156,4,3,4,4,3.75
15,2017,서울금천서,5,5,1141,1874,3,3,4,4,3.5
16,2017,서울중랑서,5,3,1533,2858,2,4,4,4,3.5
17,2017,서울강남서,6,13,2069,2229,4,4,4,4,4.0
18,2017,서울관악서,8,7,1979,3152,4,4,4,4,4.0
19,2017,서울강서서,11,4,1888,2916,3,4,4,4,3.75
20,2017,서울강동서,5,10,1645,2429,4,4,4,4,4.0
21,2017,서울종암서,2,3,643,897,2,2,2,2,2.0
22,2017,서울구로서,7,8,1725,2827,4,4,4,4,4.0
23,2017,서울서초서,8,9,1448,1889,4,4,4,4,4.0
24,2017,서울양천서,3,3,1590,2148,2,4,4,3,3.25
25,2017,서울송파서,6,1,2274,3007,2,4,4,4,3.5
26,2017,서울노원서,4,9,1538,2478,4,4,4,3,3.75
27,2017,서울방배서,1,4,364,515,3,2,2,2,2.25
28,2017,서울은평서,3,2,834,1352,2,3,3,3,2.75
29,2017,서울도봉서,1,3,633,1258,2,2,3,2,2.25
30,2017,서울수서서,1,7,1061,1727,4,3,3,2,3.0
31,2017,부산중부서,1,6,1012,829,3,3,2,2,2.5
32,2017,부산동래서,3,7,1102,1421,4,3,3,3,3.25
33,2017,부산영도서,1,3,410,647,2,2,2,2,2.0
34,2017,부산동부서,4,4,650,894,3,2,2,3,2.5
35,2017,부산진서,9,13,2459,3272,4,4,4,4,4.0
36,2017,부산서부서,1,3,689,690,2,2,2,2,2.0
37,2017,부산남부서,12,18,1708,2167,4,4,4,4,4.0
38,2017,부산해운대서,5,7,1547,2240,4,4,4,4,4.0
39,2017,부산사상서,7,13,1279,1374,4,4,3,4,3.75
40,2017,부산금정서,1,4,919,1049,3,3,2,2,2.5
41,2017,부산사하서,9,6,1079,1688,3,3,3,4,3.25
42,2017,부산연제서,2,6,1012,1550,3,3,3,2,2.75
43,2017,부산강서서,1,1,514,471,2,2,2,2,2.0
44,2017,부산북부서,4,8,898,1448,4,3,3,3,3.25
45,2017,부산기장서,1,2,526,742,2,2,2,2,2.0
46,2017,대구중부서,4,4,1103,1029,3,3,2,3,2.75
47,2017,대구동부서,6,6,1252,1835,3,4,3,4,3.5
48,2017,대구서부서,4,4,701,1449,3,2,3,3,2.75
49,2017,대구남부서,1,7,650,1245,4,2,3,2,2.75
50,2017,대구북부서,4,3,673,1124,2,2,3,3,2.5
51,2017,대구수성서,7,6,938,1930,3,3,4,4,3.5
52,2017,대구달서서,6,1,776,1523,2,2,3,4,2.75
53,2017,대구성서서,5,6,1253,1639,3,4,3,4,3.5
54,2017,대구달성서,7,0,409,916,1,2,2,4,2.25
55,2017,대구강북서,2,0,556,996,1,2,2,2,1.75
56,2017,인천중부서,2,8,744,1482,4,2,3,2,2.75
57,2017,인천남부서,5,23,1633,3427,4,4,4,4,4.0
58,2017,인천남동서,6,14,1388,3112,4,4,4,4,4.0
59,2017,인천부평서,3,5,940,1876,3,3,4,3,3.25
60,2017,인천서부서,4,10,1193,2915,4,3,4,3,3.5
61,2017,인천계양서,7,7,819,1863,4,3,4,4,3.75
62,2017,인천강화서,3,0,103,372,1,1,2,3,1.75
63,2017,인천연수서,2,2,837,1515,2,3,3,2,2.5
64,2017,인천삼산서,3,3,1342,2543,2,4,4,3,3.25
65,2017,인천논현서,0,1,193,281,2,1,1,1,1.25
66,2017,광주동부서,3,5,624,1090,3,2,2,3,2.5
67,2017,광주서부서,0,7,1142,2293,4,3,4,1,3.0
68,2017,광주북부서,3,5,1546,2176,3,4,4,3,3.5
69,2017,광주광산서,3,12,927,1909,4,3,4,3,3.5
70,2017,광주남부서,0,4,576,898,3,2,2,1,2.0
71,2017,대전중부서,5,20,1145,2051,4,3,4,4,3.75
72,2017,대전동부서,7,4,1288,1644,3,4,3,4,3.5
73,2017,대전서부서,2,8,896,1373,4,3,3,2,3.0
74,2017,대전대덕서,2,5,769,1032,3,2,2,2,2.25
75,2017,대전둔산서,1,3,1043,1427,2,3,3,2,2.5
76,2017,대전유성서,5,2,1073,1273,2,3,3,4,3.0
77,2017,울산남부서,2,14,1232,2886,4,4,4,2,3.5
78,2017,울산중부서,10,4,972,1947,3,3,4,4,3.5
79,2017,울산울주서,3,4,652,1227,3,2,3,3,2.75
80,2017,울산동부서,2,3,709,1287,2,2,3,2,2.25
81,2017,경기수원중부서,4,9,1532,2570,4,4,4,3,3.75
82,2017,경기수원남부서,6,8,2500,3325,4,4,4,4,4.0
83,2017,경기수원서부서,4,8,1472,2033,4,4,4,3,3.75
84,2017,경기안양동안서,3,5,861,1593,3,3,3,3,3.0
85,2017,경기안양만안서,1,8,944,1999,4,3,4,2,3.25
86,2017,경기군포서,2,4,763,1286,3,2,3,2,2.5
87,2017,경기성남수정서,11,5,806,1646,3,3,3,4,3.25
88,2017,경기성남중원서,6,6,999,1547,3,3,3,4,3.25
89,2017,경기분당서,2,3,1323,1968,2,4,4,2,3.0
90,2017,경기부천소사서,1,2,784,844,2,3,2,2,2.25
91,2017,경기부천원미서,3,10,2690,3288,4,4,4,3,3.75
92,2017,경기부천오정서,0,1,612,971,2,2,2,1,1.75
93,2017,경기광명서,1,1,1051,1779,2,3,3,2,2.5
94,2017,경기안산단원서,14,9,1765,3135,4,4,4,4,4.0
95,2017,경기안산상록서,6,8,1136,2140,4,3,4,4,3.75
96,2017,경기시흥서,6,8,1295,2871,4,4,4,4,4.0
97,2017,경기평택서,8,9,2067,3911,4,4,4,4,4.0
98,2017,경기화성동부서,12,7,1938,3171,4,4,4,4,4.0
99,2017,경기화성서부서,9,4,982,1546,3,3,3,4,3.25
100,2017,경기용인동부서,8,8,1456,2262,4,4,4,4,4.0
101,2017,경기용인서부서,2,4,861,1364,3,3,3,2,2.75
102,2017,경기광주서,6,4,850,1832,3,3,3,4,3.25
103,2017,경기과천서,0,1,202,251,2,2,1,1,1.5
104,2017,경기의왕서,0,3,208,494,2,2,2,1,1.75
105,2017,경기하남서,2,1,507,758,2,2,2,2,2.0
106,2017,경기이천서,8,2,619,1454,2,2,3,4,2.75
107,2017,경기김포서,4,3,926,1303,2,3,3,3,2.75
108,2017,경기안성서,2,3,618,1134,2,2,3,2,2.25
109,2017,경기여주서,2,0,408,731,1,2,2,2,1.75
110,2017,경기양평서,4,2,268,525,2,2,2,3,2.25
111,2017,경기의정부서,6,15,1602,3325,4,4,4,4,4.0
112,2017,경기고양서,5,8,961,2153,4,3,4,4,3.75
113,2017,경기일산동부서,3,5,949,1816,3,3,3,3,3.0
114,2017,경기일산서부서,1,1,574,924,2,2,2,2,2.0
115,2017,경기남양주서,8,7,1363,2997,4,4,4,4,4.0
116,2017,경기파주서,6,6,1028,1844,3,3,4,4,3.5
117,2017,경기양주서,1,4,508,1254,3,2,3,2,2.5
118,2017,경기동두천서,0,3,350,692,2,2,2,1,1.75
119,2017,경기구리서,4,4,800,1436,3,3,3,3,3.0
120,2017,경기포천서,2,5,504,1124,3,2,3,2,2.5
121,2017,경기가평서,2,1,216,450,2,2,2,2,2.0
122,2017,경기연천서,3,1,119,213,2,1,1,3,1.75
123,2017,강원강릉서,2,6,672,1760,3,2,3,2,2.5
124,2017,강원고성서,1,0,36,133,1,1,1,2,1.25
125,2017,강원동해서,3,3,206,662,2,2,2,3,2.25
126,2017,강원삼척서,2,0,224,456,1,2,2,2,1.75
127,2017,강원속초서,4,1,385,939,2,2,2,3,2.25
