,발생년도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
0,2018,서울중부,1,5,1057,1176,3,3,3,2,2.75
1,2018,서울종로,5,1,744,1131,2,2,3,4,2.75
2,2018,서울남대문,1,6,798,779,3,3,2,2,2.5
3,2018,서울서대문,5,3,1062,1526,2,3,3,4,3.0
4,2018,서울혜화,1,2,739,831,2,2,2,2,2.0
5,2018,서울용산,1,3,1096,1980,2,3,4,2,2.75
6,2018,서울성북,1,0,600,886,1,2,2,2,1.75
7,2018,서울동대문,2,5,1447,2081,3,4,4,2,3.25
8,2018,서울마포,6,6,2011,2676,3,4,4,4,3.75
9,2018,서울영등포,17,8,2292,3132,4,4,4,4,4.0
10,2018,서울성동,2,5,999,1325,3,3,3,2,2.75
11,2018,서울동작,3,7,1151,1651,4,3,3,3,3.25
12,2018,서울광진,7,2,1769,1908,2,4,4,4,3.5
13,2018,서울서부,4,0,505,807,1,2,2,3,2.0
14,2018,서울강북,8,7,1112,2122,4,3,4,4,3.75
15,2018,서울금천,6,7,1168,1912,4,3,4,4,3.75
16,2018,서울중랑,4,3,1526,2581,2,4,4,3,3.25
17,2018,서울강남,5,9,2020,2188,4,4,4,4,4.0
18,2018,서울관악,9,10,2012,2643,4,4,4,4,4.0
19,2018,서울강서,11,6,1724,2619,3,4,4,4,3.75
20,2018,서울강동,3,7,1515,2224,4,4,4,3,3.75
21,2018,서울종암,6,1,564,801,2,2,2,4,2.5
22,2018,서울구로,8,9,1717,2826,4,4,4,4,4.0
23,2018,서울서초,5,4,1482,1908,3,4,4,4,3.75
24,2018,서울양천,2,4,1384,2005,3,4,4,2,3.25
25,2018,서울송파,5,6,2352,3135,3,4,4,4,3.75
26,2018,서울노원,5,5,1422,2381,3,4,4,4,3.75
27,2018,서울방배,0,1,369,487,2,2,2,1,1.75
28,2018,서울은평,4,1,773,1308,2,2,3,3,2.5
29,2018,서울도봉,1,5,781,1349,3,2,3,2,2.5
