,발생연도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
0,2019,서울중부서,1,4,1198,1135,3,3,3,2,2.75
1,2019,서울종로서,2,5,816,1250,3,3,3,2,2.75
2,2019,서울남대문서,1,2,1004,787,2,3,2,2,2.25
3,2019,서울서대문서,2,5,1226,1535,3,4,3,2,3.0
4,2019,서울혜화서,2,2,699,832,2,2,2,2,2.0
5,2019,서울용산서,3,3,999,2036,2,3,4,3,3.0
6,2019,서울성북서,2,0,442,737,1,2,2,2,1.75
7,2019,서울동대문서,6,10,1531,1977,4,4,4,4,4.0
8,2019,서울마포서,2,2,2190,2153,2,4,4,2,3.0
9,2019,서울영등포서,10,3,2409,3042,2,4,4,4,3.5
10,2019,서울성동서,6,9,970,1394,4,3,3,4,3.5
11,2019,서울동작서,4,1,1328,1816,2,4,3,3,3.0
12,2019,서울광진서,4,6,1875,1853,3,4,4,3,3.5
13,2019,서울서부서,1,0,624,844,1,2,2,2,1.75
14,2019,서울강북서,6,3,1229,2424,2,4,4,4,3.5
15,2019,서울금천서,6,10,1157,1779,4,3,3,4,3.5
16,2019,서울중랑서,10,4,1666,2450,3,4,4,4,3.75
17,2019,서울강남서,3,3,2003,2186,2,4,4,3,3.25
18,2019,서울관악서,13,10,2223,2674,4,4,4,4,4.0
19,2019,서울강서서,8,3,2050,2557,2,4,4,4,3.5
20,2019,서울강동서,6,15,1650,2163,4,4,4,4,4.0
21,2019,서울종암서,1,3,640,876,2,2,2,2,2.0
22,2019,서울구로서,10,3,1916,2552,2,4,4,4,3.5
23,2019,서울서초서,4,7,1867,2149,4,4,4,3,3.75
24,2019,서울양천서,6,2,1477,1602,2,4,3,4,3.25
25,2019,서울송파서,7,10,2416,2992,4,4,4,4,4.0
26,2019,서울노원서,4,3,1498,2464,2,4,4,3,3.25
27,2019,서울방배서,1,0,403,495,1,2,2,2,1.75
28,2019,서울은평서,2,1,941,1273,2,3,3,2,2.5
29,2019,서울도봉서,1,5,790,1224,3,3,3,2,2.75
30,2019,서울수서서,2,2,967,1472,2,3,3,2,2.5
31,2019,부산중부서,3,4,700,822,3,2,2,3,2.5
32,2019,부산동래서,4,6,938,1468,3,3,3,3,3.0
33,2019,부산영도서,4,5,350,662,3,2,2,3,2.5
34,2019,부산동부서,0,10,696,934,4,2,2,1,2.25
35,2019,부산진서,7,16,2424,3304,4,4,4,4,4.0
36,2019,부산서부서,1,4,606,596,3,2,2,2,2.25
37,2019,부산남부서,8,5,1541,2238,3,4,4,4,3.75
38,2019,부산해운대서,3,5,1305,2014,3,4,4,3,3.5
39,2019,부산사상서,8,3,1023,1446,2,3,3,4,3.0
40,2019,부산금정서,10,11,1036,1188,4,3,3,4,3.5
41,2019,부산사하서,10,4,1025,1535,3,3,3,4,3.25
42,2019,부산연제서,3,5,1068,1646,3,3,3,3,3.0
43,2019,부산강서서,1,0,474,525,1,2,2,2,1.75
44,2019,부산북부서,1,3,807,1614,2,3,3,2,2.5
45,2019,부산기장서,0,1,497,656,2,2,2,1,1.75
46,2019,대구중부서,1,4,1484,1528,3,4,3,2,3.0
47,2019,대구동부서,8,5,1237,1801,3,4,3,4,3.5
48,2019,대구서부서,0,5,693,1368,3,2,3,1,2.25
49,2019,대구남부서,4,2,724,1107,2,2,2,3,2.25
50,2019,대구북부서,1,3,750,1221,2,2,3,2,2.25
51,2019,대구수성서,6,3,1101,1547,2,3,3,4,3.0
52,2019,대구달서서,4,0,895,1207,1,3,3,3,2.5
53,2019,대구성서서,6,6,1154,1586,3,3,3,4,3.25
54,2019,대구달성서,6,2,636,899,2,2,2,4,2.5
55,2019,대구강북서,5,0,579,1117,1,2,2,4,2.25
56,2019,인천중부서,3,6,985,1581,3,3,3,3,3.0
57,2019,인천미추홀서,8,10,1748,3331,4,4,4,4,4.0
58,2019,인천남동서,6,8,1079,2207,4,3,4,4,3.75
59,2019,인천부평서,4,11,1053,1920,4,3,4,3,3.5
60,2019,인천서부서,6,5,1325,3335,3,4,4,4,3.75
61,2019,인천계양서,5,5,732,1867,3,2,4,4,3.25
62,2019,인천강화서,2,0,169,343,1,1,2,2,1.5
63,2019,인천연수서,8,7,1018,1555,4,3,3,4,3.5
64,2019,인천삼산서,2,4,1333,2316,3,4,4,2,3.25
65,2019,인천논현서,4,4,607,1174,3,2,3,3,2.75
66,2019,광주동부서,3,4,602,972,3,2,2,3,2.5
67,2019,광주서부서,4,4,1190,2253,3,3,4,3,3.25
68,2019,광주북부서,6,15,1438,2326,4,4,4,4,4.0
69,2019,광주광산서,2,4,1081,2114,3,3,4,2,3.0
70,2019,광주남부서,1,1,611,1014,2,2,2,2,2.0
71,2019,대전중부서,5,6,1221,1554,3,3,3,4,3.25
72,2019,대전동부서,3,8,1176,1246,4,3,3,3,3.25
73,2019,대전서부서,1,4,815,1469,3,3,3,2,2.75
74,2019,대전대덕서,0,1,646,1115,2,2,2,1,1.75
75,2019,대전둔산서,3,4,974,1480,3,3,3,3,3.0
76,2019,대전유성서,6,2,1024,1345,2,3,3,4,3.0
77,2019,울산남부서,3,14,1038,2110,4,3,4,3,3.5
78,2019,울산중부서,9,8,968,1800,4,3,3,4,3.5
79,2019,울산울주서,4,3,605,973,2,2,2,3,2.25
80,2019,울산동부서,3,3,594,1140,2,2,3,3,2.5
81,2019,세종서,3,0,850,876,1,3,2,3,2.25
82,2019,경기수원중부서,2,6,1446,2447,3,4,4,2,3.25
83,2019,경기수원남부서,10,9,2199,3417,4,4,4,4,4.0
84,2019,경기수원서부서,4,4,1538,2020,3,4,4,3,3.5
85,2019,경기안양동안서,1,4,730,1334,3,2,3,2,2.5
86,2019,경기안양만안서,4,3,1010,1746,2,3,3,3,2.75
87,2019,경기군포서,4,2,655,1179,2,2,3,3,2.5
88,2019,경기성남수정서,1,6,977,1564,3,3,3,2,2.75
89,2019,경기성남중원서,2,1,953,1635,2,3,3,2,2.5
90,2019,경기분당서,1,6,1320,1722,3,4,3,2,3.0
91,2019,경기부천소사서,3,2,826,1236,2,3,3,3,2.75
92,2019,경기부천원미서,7,10,2255,2985,4,4,4,4,4.0
93,2019,경기부천오정서,5,0,632,1047,1,2,2,4,2.25
94,2019,경기광명서,1,5,1066,1721,3,3,3,2,2.75
95,2019,경기안산단원서,8,9,1928,3049,4,4,4,4,4.0
96,2019,경기안산상록서,2,4,1049,2062,3,3,4,2,3.0
97,2019,경기시흥서,3,15,1770,3355,4,4,4,3,3.75
98,2019,경기평택서,8,12,2183,4336,4,4,4,4,4.0
99,2019,경기오산서,3,7,935,1689,4,3,3,3,3.25
100,2019,경기화성서부서,8,6,1032,1958,3,3,4,4,3.5
