,발생연도,경찰서,살인,강도,절도,폭력,강도등급,절도등급,폭행등급,살인등급,평균등급
0,2019,서울중부,1,4,1198,1135,3,3,3,2,2.75
1,2019,서울종로,2,5,816,1250,3,3,3,2,2.75
2,2019,서울남대문,1,2,1004,787,2,3,2,2,2.25
3,2019,서울서대문,2,5,1226,1535,3,4,3,2,3.0
4,2019,서울혜화,2,2,699,832,2,2,2,2,2.0
5,2019,서울용산,3,3,999,2036,2,3,4,3,3.0
6,2019,서울성북,2,0,442,737,1,2,2,2,1.75
7,2019,서울동대문,6,10,1531,1977,4,4,4,4,4.0
8,2019,서울마포,2,2,2190,2153,2,4,4,2,3.0
9,2019,서울영등포,10,3,2409,3042,2,4,4,4,3.5
10,2019,서울성동,6,9,970,1394,4,3,3,4,3.5
11,2019,서울동작,4,1,1328,1816,2,4,3,3,3.0
12,2019,서울광진,4,6,1875,1853,3,4,4,3,3.5
13,2019,서울서부,1,0,624,844,1,2,2,2,1.75
14,2019,서울강북,6,3,1229,2424,2,4,4,4,3.5
15,2019,서울금천,6,10,1157,1779,4,3,3,4,3.5
16,2019,서울중랑,10,4,1666,2450,3,4,4,4,3.75
17,2019,서울강남,3,3,2003,2186,2,4,4,3,3.25
18,2019,서울관악,13,10,2223,2674,4,4,4,4,4.0
19,2019,서울강서,8,3,2050,2557,2,4,4,4,3.5
20,2019,서울강동,6,15,1650,2163,4,4,4,4,4.0
21,2019,서울종암,1,3,640,876,2,2,2,2,2.0
22,2019,서울구로,10,3,1916,2552,2,4,4,4,3.5
23,2019,서울서초,4,7,1867,2149,4,4,4,3,3.75
24,2019,서울양천,6,2,1477,1602,2,4,3,4,3.25
25,2019,서울송파,7,10,2416,2992,4,4,4,4,4.0
26,2019,서울노원,4,3,1498,2464,2,4,4,3,3.25
27,2019,서울방배,1,0,403,495,1,2,2,2,1.75
28,2019,서울은평,2,1,941,1273,2,3,3,2,2.5
29,2019,서울도봉,1,5,790,1224,3,3,3,2,2.75
30,2019,서울수서,2,2,967,1472,2,3,3,2,2.5
31,2019,부산중부,3,4,700,822,3,2,2,3,2.5
32,2019,부산동래,4,6,938,1468,3,3,3,3,3.0
33,2019,부산영도,4,5,350,662,3,2,2,3,2.5
34,2019,부산동부,0,10,696,934,4,2,2,1,2.25
35,2019,부산진,7,16,2424,3304,4,4,4,4,4.0
36,2019,부산서부,1,4,606,596,3,2,2,2,2.25
37,2019,부산남부,8,5,1541,2238,3,4,4,4,3.75
38,2019,부산해운대,3,5,1305,2014,3,4,4,3,3.5
39,2019,부산사상,8,3,1023,1446,2,3,3,4,3.0
40,2019,부산금정,10,11,1036,1188,4,3,3,4,3.5
41,2019,부산사하,10,4,1025,1535,3,3,3,4,3.25
42,2019,부산연제,3,5,1068,1646,3,3,3,3,3.0
43,2019,부산강서,1,0,474,525,1,2,2,2,1.75
44,2019,부산북부,1,3,807,1614,2,3,3,2,2.5
45,2019,부산기장,0,1,497,656,2,2,2,1,1.75
46,2019,대구중부,1,4,1484,1528,3,4,3,2,3.0
47,2019,대구동부,8,5,1237,1801,3,4,3,4,3.5
48,2019,대구서부,0,5,693,1368,3,2,3,1,2.25
49,2019,대구남부,4,2,724,1107,2,2,2,3,2.25
50,2019,대구북부,1,3,750,1221,2,2,3,2,2.25
51,2019,대구수성,6,3,1101,1547,2,3,3,4,3.0
52,2019,대구달서,4,0,895,1207,1,3,3,3,2.5
53,2019,대구성서,6,6,1154,1586,3,3,3,4,3.25
54,2019,대구달성,6,2,636,899,2,2,2,4,2.5
55,2019,대구강북,5,0,579,1117,1,2,2,4,2.25
56,2019,인천중부,3,6,985,1581,3,3,3,3,3.0
57,2019,인천미추홀,8,10,1748,3331,4,4,4,4,4.0
58,2019,인천남동,6,8,1079,2207,4,3,4,4,3.75
59,2019,인천부평,4,11,1053,1920,4,3,4,3,3.5
60,2019,인천서부,6,5,1325,3335,3,4,4,4,3.75
61,2019,인천계양,5,5,732,1867,3,2,4,4,3.25
62,2019,인천강화,2,0,169,343,1,1,2,2,1.5
63,2019,인천연수,8,7,1018,1555,4,3,3,4,3.5
64,2019,인천삼산,2,4,1333,2316,3,4,4,2,3.25
65,2019,인천논현,4,4,607,1174,3,2,3,3,2.75
66,2019,광주동부,3,4,602,972,3,2,2,3,2.5
67,2019,광주서부,4,4,1190,2253,3,3,4,3,3.25
68,2019,광주북부,6,15,1438,2326,4,4,4,4,4.0
69,2019,광주광산,2,4,1081,2114,3,3,4,2,3.0
70,2019,광주남부,1,1,611,1014,2,2,2,2,2.0
71,2019,대전중부,5,6,1221,1554,3,3,3,4,3.25
72,2019,대전동부,3,8,1176,1246,4,3,3,3,3.25
73,2019,대전서부,1,4,815,1469,3,3,3,2,2.75
74,2019,대전대덕,0,1,646,1115,2,2,2,1,1.75
75,2019,대전둔산,3,4,974,1480,3,3,3,3,3.0
76,2019,대전유성,6,2,1024,1345,2,3,3,4,3.0
77,2019,울산남부,3,14,1038,2110,4,3,4,3,3.5
78,2019,울산중부,9,8,968,1800,4,3,3,4,3.5
79,2019,울산울주,4,3,605,973,2,2,2,3,2.25
80,2019,울산동부,3,3,594,1140,2,2,3,3,2.5
81,2019,세종,3,0,850,876,1,3,2,3,2.25
82,2019,수원중부,2,6,1446,2447,3,4,4,2,3.25
83,2019,수원남부,10,9,2199,3417,4,4,4,4,4.0
84,2019,수원서부,4,4,1538,2020,3,4,4,3,3.5
85,2019,안양동안,1,4,730,1334,3,2,3,2,2.5
86,2019,안양만안,4,3,1010,1746,2,3,3,3,2.75
87,2019,군포,4,2,655,1179,2,2,3,3,2.5
88,2019,성남수정,1,6,977,1564,3,3,3,2,2.75
89,2019,성남중원,2,1,953,1635,2,3,3,2,2.5
90,2019,분당,1,6,1320,1722,3,4,3,2,3.0
91,2019,부천소사,3,2,826,1236,2,3,3,3,2.75
92,2019,부천원미,7,10,2255,2985,4,4,4,4,4.0
93,2019,부천오정,5,0,632,1047,1,2,2,4,2.25
94,2019,광명,1,5,1066,1721,3,3,3,2,2.75
95,2019,안산단원,8,9,1928,3049,4,4,4,4,4.0
96,2019,안산상록,2,4,1049,2062,3,3,4,2,3.0
97,2019,시흥,3,15,1770,3355,4,4,4,3,3.75
